[2025-11-01 15:44:06,388] INFO django.utils.autoreload: C:\Users\Amal Dev\Desktop\sustainability_hub\backend\projects\views.py changed, reloading.
[2025-11-01 15:44:07,477] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-11-01 11:23:06,841] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-11-01 11:23:34,695] INFO django.server: "GET /admin/ HTTP/1.1" 200 11105
[2025-11-01 11:34:00,358] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-11-01 11:34:08,832] INFO django.server: "GET /admin/ HTTP/1.1" 200 11105
[2025-11-01 11:34:09,210] INFO django.server: "GET /admin/ HTTP/1.1" 200 11105
[2025-11-01 11:34:17,436] INFO django.server: "OPTIONS /api/project/dashboard/ HTTP/1.1" 200 0
[2025-11-01 11:34:17,436] INFO django.server: "OPTIONS /api/project/dashboard/ HTTP/1.1" 200 0
[2025-11-01 11:34:17,542] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 476
[2025-11-01 11:34:17,631] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 476
[2025-11-01 11:34:21,496] INFO django.server: "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[2025-11-01 11:34:22,008] INFO django.server: "POST /api/auth/login/ HTTP/1.1" 200 566
[2025-11-01 11:34:22,154] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 476
[2025-11-01 11:34:22,209] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 476
[2025-11-01 11:34:26,996] INFO django.server: "OPTIONS /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 0
[2025-11-01 11:34:27,000] INFO django.server: "OPTIONS /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 0
[2025-11-01 11:34:27,054] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 2164
[2025-11-01 11:34:27,114] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 2164
[2025-11-01 11:34:28,138] INFO django.server: "OPTIONS /api/project/tasks/overdue/?search= HTTP/1.1" 200 0
[2025-11-01 11:34:28,154] INFO django.server: "OPTIONS /api/project/tasks/overdue/?search= HTTP/1.1" 200 0
[2025-11-01 11:34:28,186] INFO projects.views: [OverDueTaskListAPIView] ******* From DB *******
[2025-11-01 11:34:28,188] INFO django.server: "GET /api/project/tasks/overdue/?search= HTTP/1.1" 200 1507
[2025-11-01 11:34:28,256] INFO projects.views: [OverDueTaskListAPIView] ******* From DB *******
[2025-11-01 11:34:28,261] INFO django.server: "GET /api/project/tasks/overdue/?search= HTTP/1.1" 200 1507
[2025-11-01 11:34:31,652] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 2164
